adref,description,redirect_url,salary_is_predicted,created,latitude,title,id,longitude,__CLASS__,company.__CLASS__,company.display_name,location.display_name,location.area,location.__CLASS__,category.label,category.tag,category.__CLASS__,salary_min,contract_time,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MDA2NDY0In0.Uv5BCSvelN9S0ieBYlZRE647oa3MRmg9uj-oJm3fFG8,"Description du poste This hybrid role will allow an artist to progressively take on compositing tasks while supporting the FX department. For the compositing aspect, the artist will be responsible for the core tasks of the department: importing color backgrounds, reference animatics and audio as needed. Using the animatic and the animation, they will assemble all elements and create camera movements as well as any other necessary animations. Finally, the artist will add the effects required for…",https://www.adzuna.ca/details/5735006464?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:48Z,45.544959,FX & Compositing Artist for Harmony,5735006464,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Tonic DNA,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDgxNzE3MCIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.XKocWag8c9eVYpt4QK-15zjZX5D1fT27OqfATLahnWE,"À titre d’Associé ou de Vice-président au sein de l’équipe Développement d’algorithmes de négociation électronique des Marchés des Capitaux à la Banque Nationale, vous contribuerez à bâtir et à faire évoluer nos capacités de négociation électronique. Vous travaillerez en étroite collaboration avec les négociateurs et les équipes quantitatives afin de livrer des solutions prêtes pour la production - de la conception à l’implémentation de stratégies, tests, suivis et aux améliorations continues. …",https://www.adzuna.ca/land/ad/5734817170?se=RJVRCn5U8RGB68X7m2UOqQ&utm_medium=api&utm_source=e90db681&v=C659D6EE7412E094BD0DB6579B9FE150E939E707,0,2026-05-20T00:46:10Z,45.544959,Associé / VP – Algorithmes de négociation électronique,5734817170,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Banque Nationale,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,full_time,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0Njg0NzI0In0.cc_tgKUHpTFqdhallBgHe1_LwRnL2Z7jozsil-qqbVc,"Rôle : Sous la responsabilité du Directeur système et technologie de l’information, cette personne sera responsable d’assurer le bon fonctionnement ainsi que la sécurité des systèmes informatiques de l’entreprise et aura la chance de nous accompagner dans notre modernisation et dans notre grand projet de transformation numérique. Principales responsabilités : Administrer les serveurs Windows ; y compris la conception, l'installation, la configuration, la surveillance, l'application de correctif…",https://www.adzuna.ca/land/ad/5734684724?se=RJVRCn5U8RGB68X7m2UOqQ&utm_medium=api&utm_source=e90db681&v=F397FB00DA5F70B376BF7114B26CE66C3B19879F,0,2026-05-19T21:55:43Z,45.615392,Administrateur de systèmes,5734684724,-73.831179,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Abipa Canada inc.,"Boisbriand, Thérèse-De Blainville","['Canada', 'Québec', 'Laurentides', 'Thérèse-De Blainville', 'Boisbriand']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,full_time,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NTU4OTEzIn0.mpPv9TtKvbWQW3akU2nlPCn4CPfHAn_ATtYGoFH2OX0,"Be a part of our mission! As a world leader in creating comfortable, sustainable, and efficient climate solutions for buildings, homes and transportation, it's our responsibility to put the planet first. For us at Trane Technologies , and through our businesses including Trane® and Thermo King , sustainability is not just how we do business—it is our business. Do you dare to look at the world's challenges and see impactful possibilities? Do you want to contribute to making a better future? If t…",https://www.adzuna.ca/land/ad/5734558913?se=RJVRCn5U8RGB68X7m2UOqQ&utm_medium=api&utm_source=e90db681&v=FB673E7F1B040501F0D48DD4697690397BF92335,0,2026-05-19T20:09:29Z,45.50438,Senior Software Developer,5734558913,-73.57193,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Trane Technologies,"Westmount, Montréal","['Canada', 'Québec', 'Montréal', 'Westmount']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NTQ0NDkxIn0.vseKljmr7Qxg5Yrb897T47FNXBMr_QDj3YWtIgvVY-0,"Who we are: Valnet Inc., the world’s premier digital media investment company, owns and operates over 25 highly authoritative brands across various verticals, including entertainment, sports, technology, automotive, gaming, and travel. Specializing in acquiring, operating, and growing properties that are mission-critical in their respective environments, Valnet is at the forefront of media investment. With over 25 websites and 36 YouTube channels, Valnet’s notable acquisitions include, ScreenRa…",https://www.adzuna.ca/details/5734544491?utm_medium=api&utm_source=e90db681,0,2026-05-19T18:44:47Z,45.544959,Valnet | Senior Accountant,5734544491,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Valnet Inc.,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDU0NDQyMiIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.FD_FsHT9y35gWVHXBlwDysKHkQLlvFF3yHHiAKF4-z0,"Chez ProgressionLIVE, nous développons une application web et mobile qui aide les entreprises à planifier, gérer et suivre en temps réel leurs interventions sur le terrain. Nous sommes spécialisés dans le domaine du HVAC, plomberie et électricité. Notre solution est utilisée par des centaines d'organisations partout au Canada. Elle soutient des secteurs variés comme la construction, le transport, la maintenance et les services. Avec ProgressionLIVE, nos clients optimisent leurs opérations, rédu…",https://www.adzuna.ca/details/5734544422?utm_medium=api&utm_source=e90db681,0,2026-05-19T18:43:18Z,45.544959,Directeur(trice) R&D,5734544422,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Valsoft Corporation,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,full_time,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDQ5NjMxMSIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.-a7nARtfkJ2HwxOEQCarWMrBRfi9VBi0nHYV438bkPY,Nous cherchons des babysitter à Drummondville Central (J2C) pour mise en contact avec les familles proposant des babysitting et cherchant une garde d’enfant. Renseignez votre profil via notre site internet. Merci !,https://www.adzuna.ca/details/5734496311?utm_medium=api&utm_source=e90db681,0,2026-05-19T17:51:07Z,45.887351,Babysitting: Cherchons une babysitter à Drummondville Central (J2C),5734496311,-72.502886,Adzuna::API::Response::Job,Adzuna::API::Response::Company,topnanny.net,"Drummondville, Drummond","['Canada', 'Québec', 'Centre-du-Québec', 'Drummond', 'Drummondville']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDQ5NDM3NyIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.5ySIrRfXCkVV_M7iDFvHt_oVtdn4iRGIFCR1Q3YZWyI,"Version franÃ§aise ci-dessous Company Name: PBS Systems Job Location: Remote (Montreal area) Job Type: Full-time, Permanent No. of Openings: 1 Job Requirement(s): Bilingual; Travel across Canada and USA approx. 2 weeks per month Internal Job Title: DTO Bilingual Trainer - Fixed Ops Reports To: Team Lead, DTO Fixed Ops PBS is the fastest growing ""All Inclusive Business Platform"" vendor in North America and we've only just begun! PBS has been transforming how people buy and service cars for almos…",https://www.adzuna.ca/details/5734494377?utm_medium=api&utm_source=e90db681,0,2026-05-19T17:48:54Z,45.544959,(Montreal Remote) Bilingual Automotive Fixed Ops Software Trainer,5734494377,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Equest,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NDk0MjIwIn0.yHhtI3tAqzTbyHXEQqdXjSCb3HC-y3-DckblFc0DdrA,"Et si vous pouviez vous bÃ¢tir une carriÃ¨re d'exception? Avec nous, c'est possible. Vous cherchez du sens , de la croissance , des opportunitÃ©s . Des gens qui comprennent. Nous sommes la maison des esprits ambitieux, passionnÃ©s et innovants. Avec une expertise inÃ©galÃ©e en ingÃ©nierie, en conseil et en sciences, nos esprits globaux s'unissent pour offrir des solutions locales. Nous sommes des Ã©claireurs et des crÃ©ateurs d'impact. Nous sommes Visionnaires . Nous sommes WSP . L'OpportunitÃ©…",https://www.adzuna.ca/details/5734494220?utm_medium=api&utm_source=e90db681,0,2026-05-19T17:48:43Z,45.544959,Technicien(ne) Junior en Environnement - Programme de Rotation,5734494220,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,WSP Canada,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NDkzNTUzIn0.A1-ddsoOY2pHN3fm3DLs3hFxKcDfZl0QOBCY7bGQuI8,"Overview At KPMG in Canada, our people bring their unique perspectives to Canada's most important challenges. Here, you can build momentum that reaches beyond our business, develop skills for the future, and take ownership of your career with support at every stage. Join a firm where your career can make a difference. KPMG's Operations M&A team helps companies identify and deliver real value from major deals, including acquisitions and divestitures, that have lasting impacts on the future of th…",https://www.adzuna.ca/details/5734493553?utm_medium=api&utm_source=e90db681,0,2026-05-19T17:47:15Z,45.544959,Consultant/Senior Consultant Operations M&A,5734493553,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,KPMG,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NDkzNTM4In0.a-zL0wa3iI3CmFWjKAt-lmkLEqJMLJnDCCrQ1jeZ40o,"Overview At KPMG in Canada, our people bring their unique perspectives to Canada's most important challenges. Here, you can build momentum that reaches beyond our business, develop skills for the future, and take ownership of your career with support at every stage. Join a firm where your career can make a difference. Are you a talented individual with a proven track record on executing project deliverables. This is a key role within the Cyber Defense - Offensive Security Team at KPMG, where th…",https://www.adzuna.ca/details/5734493538?utm_medium=api&utm_source=e90db681,0,2026-05-19T17:47:12Z,45.544959,Senior Consultant - Offensive Cybersecurity team,5734493538,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,KPMG,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDQ5MzQ1MyIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.tgXked9KUQfZ71ao6iHjLLfER4PE0V7tvKW9ceMXpAg,"We help the world run better At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging - but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and succee…",https://www.adzuna.ca/details/5734493453?utm_medium=api&utm_source=e90db681,0,2026-05-19T17:46:51Z,45.544959,Development Senior Manager,5734493453,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,SAP,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NDUxMzkzIn0.A5tORbVrxOZ2nwjeNxGQ8Ix_KrITtW1GbGAcV-nDLbY,"Description du poste Sous la direction du ou de la directeur.trice de district, rejoignez une équipe où votre leadership aura un véritable impact! En tant que gérant.e de magasin , vous serez au cœur de l’action : mobiliser votre équipe, inspirer la collaboration, recruter et développer les talents pour bâtir une équipe hautement performante dans une culture axée sur l’excellence et l’engagement. Vous jouerez également un rôle clé dans la performance du magasin : optimiser les résultats, souten…",https://www.adzuna.ca/details/5734451393?utm_medium=api&utm_source=e90db681,0,2026-05-19T16:57:22Z,45.390893,Gérant.e de magasin - Méga Centre Vaudreuil,5734451393,-74.02505,Adzuna::API::Response::Job,Adzuna::API::Response::Company,PENN.,"Vaudreuil-Dorion, Vaudreuil-Soulanges","['Canada', 'Québec', 'Montérégie', 'Vaudreuil-Soulanges', 'Vaudreuil-Dorion']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0NDMxMzc0In0.APZqr8HRHCeGifCT8WUXyvHoUlwCnt4quRYo-8VK25Q,"Position Description: Work mode: Hybrid, 4 days/week on-site Full Stack Developer Main Responsibilities Participate in all phases of development: analysis, design, implementation, testing, documentation, and deployment Produce high-quality code following best practices and established design patterns Prepare technical documentation and support the development team in solution-related activities Ensure quality in the delivery and documentation of development activities, including rigorous testin…",https://www.adzuna.ca/details/5734431374?utm_medium=api&utm_source=e90db681,0,2026-05-19T16:54:21Z,45.544959,Développeur Fullstack C# et .Net,5734431374,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,CGI,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,80000.0,full_time,120000.0,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDM2NTUxNiIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.0apu2jwffVjMcBl_oD4VT6NHKVpac6ykAPd3WmpGbSE,"NOTRE VISION Être le partenaire privilégié pour sécuriser les véhicules aux quais de chargement des plus grands opérateurs d'entrepôt en Amérique du Nord et en Europe. NOS VALEURS E n g a g e m e n t R e s p o n s a b i l i t é E x c e l l e n c e I n n o v a t i o n DESCRIPTION DU POSTE Relevant du chef d’équipe électrique et logiciel, l’Ingénieur systèmes embarqués effectue une variété de tâches liées à la conception, à la planification et au déploiement de solutions pour l’industrie logistiq…",https://www.adzuna.ca/details/5734365516?utm_medium=api&utm_source=e90db681,0,2026-05-19T16:42:27Z,45.72222,Ingénieur systèmes embarqués,5734365516,-73.69883,Adzuna::API::Response::Job,Adzuna::API::Response::Company,GMR Safety,"Terrebonne, Les Moulins","['Canada', 'Québec', 'Lanaudière', 'Les Moulins', 'Terrebonne']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,full_time,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDM2MjUwNSIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.wDtdaIJSRuKwcOErsq56poowVu4rr3AjawkGYBqItE0,"We’re seeking someone to join our team as a Technical Lead, Cybersecurity Engineering to help drive the development of security controls that ensure the firm's Agentic AI information assets comply with internal and external regulations. In the Technology division, we leverage innovation to build the connections and capabilities that power our Firm, enabling our clients and colleagues to redefine markets and shape the future of our communities. This is a Lead Cyber Security Engineering position …",https://www.adzuna.ca/details/5734362505?utm_medium=api&utm_source=e90db681,0,2026-05-19T16:41:59Z,45.544959,"Technical Lead, Cybersecurity Engineering – Agentic AI (Hybrid)",5734362505,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Morgan Stanley,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,full_time,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM0MzI3MzcyIn0.9-HrNHodS8xNK4u0M-agEoplxPlxm0C8ZWeieGVt_dA,"Oui, tu peux travailler en agence et avoir un vrai équilibre travail-vie-personnelle. Et oui, tu auras la chance de développer tes compétences techniques et stratégiques. C’est peut-être le début de ton histoire chez Omnicom Media! Chez nous, tu auras toute la liberté de prendre la place qui te revient : la tienne. TON MANDAT Agir comme personne-ressource au sein de l’équipe, en accompagnant les membres juniors afin d’assurer la qualité de leur travail et de favoriser le développement de leur e…",https://www.adzuna.ca/details/5734327372?utm_medium=api&utm_source=e90db681,0,2026-05-19T16:35:50Z,45.544959,"Gestionnaire de performance, Programmatique",5734327372,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Omnicom Media Group Montreal,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
